created_at;user_id;problem_id;is_correct;type
2023-04-30 14:12:55.484303;1388;155;0;submit
2023-04-30 16:07:32.172225;1388;156;1;submit
2023-04-30 16:07:24.613494;1388;156;0;submit
2023-04-30 16:06:58.748273;1388;156;1;submit
2023-04-30 15:45:28.066491;1388;158;1;submit
2023-04-30 15:44:33.791857;1388;158;0;submit
2023-04-30 13:49:54.060821;1388;159;1;submit
2023-04-30 13:49:29.319259;1388;159;0;submit
2023-04-30 13:48:27.345326;1388;159;0;submit
2023-04-30 13:55:32.047625;1388;160;1;submit
2023-04-30 14:04:37.102120;1388;166;1;submit
2023-04-30 14:04:27.759032;1388;166;0;submit
2023-04-30 14:03:46.487992;1388;166;0;submit
2023-04-30 14:03:36.657406;1388;166;0;submit
2023-04-30 16:36:43.872015;1388;167;1;submit
2023-04-30 16:29:24.267091;1388;167;1;submit
2023-04-30 16:28:25.590148;1388;167;0;submit
2023-04-30 16:16:21.762836;1388;167;0;submit
2023-04-30 15:08:24.939059;1388;180;1;submit
2023-04-30 14:38:57.176976;1388;181;1;submit
2023-04-30 13:16:31.084031;1388;182;1;submit
2023-04-30 14:24:27.570691;1552;1086;;run
2023-04-30 14:23:16.864303;1552;1086;;run
2023-04-30 14:21:54.484308;1552;1086;;run
2023-04-30 14:20:45.080852;1552;1086;;run
2023-04-30 14:19:57.413052;1552;1086;;run
2023-04-30 14:19:14.006947;1552;1086;;run
2023-04-30 14:18:34.170739;1552;1086;;run
2023-04-30 14:13:44.994804;1552;1086;;run
2023-04-30 14:12:02.969911;1552;1086;;run
2023-04-30 14:07:12.444464;1552;1086;;run
2023-04-30 14:06:38.577618;1552;1086;;run
2023-04-30 14:05:50.703322;1552;1086;;run
2023-04-30 14:04:59.012403;1552;1086;;run
2023-04-30 14:04:38.569868;1552;1086;;run
2023-04-30 13:59:11.303886;1552;1086;;run
2023-04-30 13:51:21.097854;1552;1086;;run
2023-04-30 13:29:44.662099;1552;1086;;run
2023-04-30 13:29:16.021217;1552;1086;;run
2023-04-30 13:07:31.905969;1552;1086;;run
2023-04-30 13:04:42.958597;1552;1086;;run
2023-04-30 16:35:21.973478;1742;159;1;submit
2023-04-30 16:35:06.121211;1742;159;;run
2023-04-30 16:32:57.832887;1742;159;0;submit
2023-04-30 16:32:47.969485;1742;159;;run
2023-04-30 16:32:34.561557;1742;159;0;submit
2023-04-30 16:32:21.938696;1742;159;;run
2023-04-30 16:40:25.506001;1742;160;1;submit
2023-04-30 16:40:12.824176;1742;160;;run
2023-04-30 13:41:30.058886;1742;161;1;submit
2023-04-30 13:41:18.549460;1742;161;;run
2023-04-30 15:19:38.449090;1742;163;1;submit
2023-04-30 15:19:28.510441;1742;163;;run
2023-04-30 15:18:37.502535;1742;163;0;submit
2023-04-30 15:18:25.305962;1742;163;;run
2023-04-30 15:18:13.475326;1742;163;;run
2023-04-30 15:16:07.048450;1742;163;;run
2023-04-30 15:15:44.441023;1742;163;0;submit
2023-04-30 15:15:32.086386;1742;163;;run
2023-04-30 15:15:02.756343;1742;163;;run
2023-04-30 15:14:48.496149;1742;163;;run
2023-04-30 14:48:42.356094;1742;164;1;submit
2023-04-30 14:48:31.747203;1742;164;;run
2023-04-30 14:46:08.995637;1742;164;;run
2023-04-30 14:44:41.819097;1742;164;;run
2023-04-30 14:43:18.450475;1742;164;;run
2023-04-30 14:42:19.770133;1742;164;;run
2023-04-30 14:41:29.874174;1742;164;;run
2023-04-30 14:41:03.983891;1742;164;;run
2023-04-30 14:37:16.957262;1742;164;;run
2023-04-30 14:17:08.730274;1742;164;;run
2023-04-30 14:16:01.444360;1742;164;;run
2023-04-30 14:15:46.704815;1742;164;;run
2023-04-30 14:14:07.384188;1742;164;;run
2023-04-30 14:13:53.009260;1742;164;;run
2023-04-30 14:11:39.061890;1742;164;0;submit
2023-04-30 14:11:28.120155;1742;164;;run
2023-04-30 14:54:52.507172;1742;165;1;submit
2023-04-30 14:54:40.795286;1742;165;;run
2023-04-30 16:46:53.452459;1742;166;1;submit
2023-04-30 16:45:24.820997;1742;166;;run
2023-04-30 16:44:40.544293;1742;166;0;submit
2023-04-30 16:44:28.847777;1742;166;;run
2023-04-30 16:14:07.366823;1742;182;1;submit
2023-04-30 16:13:54.302991;1742;182;;run
2023-04-30 16:13:36.801219;1742;182;;run
2023-04-30 16:12:42.158230;1742;182;0;submit
2023-04-30 16:12:22.865947;1742;182;;run
2023-04-30 16:07:35.103548;1742;182;0;submit
2023-04-30 16:07:24.291321;1742;182;;run
2023-04-30 16:06:17.676381;1742;182;0;submit
2023-04-30 16:06:05.873936;1742;182;;run
2023-04-30 15:46:49.114363;1742;182;;run
2023-04-30 13:32:21.148848;1742;187;1;submit
2023-04-30 13:32:10.555007;1742;187;;run
2023-04-30 13:31:49.819460;1742;187;0;submit
